text,task_1
 कानून सबके लिए एक जैसा होना चाहिए लेकिन कानून भी धर्म देख कर इंसाफ krta है ,1
भारत में कोरोना का आतंक एक दिन में रिकॉर्ड  लाख व्यक्ति कोरोना पॉजिटिव  की मौत       ,1
जम्मूकश्मीर के पूर्व राज्यपाल जगमोहन का सोमवार को निधन हो गया राजधानी दिल्ली में अंतिम सांस ली        ,1
वैसे भी ये सरकार सभी बड़े मुद्दे खतम कर रही है चाहे वह धारा  हो राम मंदिर का का हो या अवैध परवासी का हो सब काम हो रहा है फिर भी आप गाली निकलोगे तो क्या कर सकते है,1
दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी  कोरोना दिखा किन्तु अब हिंसा  लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं :enraged_face::enraged_face:     ,1
राजगढ़ अवैध शराब जब्त करने गए पुलिसकर्मियों को आरोपियों ने घेरकर पीटा ,1
keep this rage drag modi in the streets and hang him ृषिकानूनरद्दकरनेपड़ेंगे   ,0
भगवान इस कुतिया की मदद करें,0
पावर का गलत इस्तेमाल तो गलत हैं ही :face_with_rolling_eyes:लेकिन गलत होता हुआ देख कर भी पावर का इस्तेमाल ना करना महापाप है साहब:folded_hands: ंगालमेंराष्ट्रपतिशासननहींतोवोटनही  ,1
 पहली कोरोना लहर के बाद डाक्टर नर्सों को आराम मिले इसलिए चिकित्सा से जुडे अन्य कार्यों को दूसरों को बाँटने के लिए क्या हुआ जिससे वह मरीज पर ध्यान दे सकेरजिस्टर में एंट्री तो कोई कर सकता हैचिकित्सा सामान तो कोई ओर खरीद सकता है आदि,1
 भाईयों बहनों आप वैक्सिन के लिए क्यू मे आ गए हो  धन्यवाद  आप को मै बस धन्यवाद दे सकता हूं क्योंकि वैक्सिन तो है ही नही  लाइन में रहिए और मरते रहिए आप का अपना झांसा राम ,1
शेर ऎ बिहार  ,1
कमीने और मांग धूप :face_with_rolling_eyes::neutral_face:  डिग्री को सेंटीग्रेट हो गया है :unamused_face::anxious_face_with_sweat: समझाओ इसे :face_with_tears_of_joy::face_with_tears_of_joy::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: ,0
अलविदा शेरएबिहार :loudly_crying_face: अल्लाह आपको जन्नतुल फिरदौस में आला मकाम अता फरमाए और अहले खाना को सब्र जमील अता फरमाए:palms_up_together:  ,1
अलविदा शेरए सिवान अलविदा शेरएहिन्दोस्तान  ,1
  के निर्देशन में अवैध शराब निर्माण एवं बिक्री की रोकथाम हेतु चलाए जा रहे अभियान के क्रम में ने एक अभियुक्त को अवैध शराब के साथ गिरफ्तार किया ,1
इंसान को मार सकते हो उसकी शख़्सियत को कभी मौत नहीं आती शहाबुद्दीन साहब एक जिंदादिल इंसान थे उन्हें भुलाया नहीं जा सकता है   ,0
आज़म खान साहब का इलाज aiims में कराया जाए… शहाबुद्दीन साहब की तरह उन्हें सिस्टम भरोसे नही छोड़ सकते:crying_face::folded_hands: ,1
राजद के नवादा ज़िला अध्यक्ष कमरुल बारी साहब ने राजद से दिया इस्तीफा…  ,1
ऑक्सीजन की कमी से सिर्फ  लोगो के मरने पर जॉर्डन के स्वास्थ्य मंत्री ने इस्तीफा दे दिया  और भारत मे      ,1
अल्लाह शहाबुद्दीन साहब को जन्नत उल फिरदोस में आला से आला मक़ाम अता फरमाएं घर वालों को सब्र दे और शहाबुद्दीन साहब के बेटे ओसामा शहाब को हिम्मत और हौसला दे आमीन दुआ की गुजारिश है… ,1
भाड़ में जाओ,0
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
हिंदू मुस्लिम एकता अब नही देख लिया इन सुअरो को   ,0
सभी रजनीतिक दलो के लिए  इतनी घटिया राजनीति करते हुए शर्म आनी चाहिए आपको   ,0
इधर चाइनीज पांडा ने गधे को एक और लात मार दी अबकी बार ये लात नागपुरिया भालू से मरवा दीगधा पीटा जा रहा है गैंडा छुपा है:face_with_tears_of_joy:,1
अब धर्म बताओ इनका   muslim   ,1
   ाहिसाबदो  ,1
दोगला मुख्ममंत्री को हटाओ युवा बाबू  ये दोगला राजनीतिक करने आए है इनको झारखंडी युवा से मतलब नहीं सिर्फ पैसा कमाने आए है झूठ बोल कर सपना दिखाएं है इनको सपना कैसे होता है मालूम नहीं अब हम युवा दिखेंगे सपना ye dishmaan ,0
बहत हो गया उपदेश  और नहीं  अब सहयोग करना है तो करो नहीँ तो भाड़ में जाओ ,1
दोस्तों आओ हम सब सर्वसम्मति से महान अर्थशास्त्री धुरंधर वैज्ञानिक अंतर्राष्ट्रीय किसान भयंकर सवर्णदलित मसीहा ुदित राज जी को खांग्रेस ्यक्ष एवं ानमंतली बनाएं :folded_hands: सभी ्याएं समाप्त ितराजकोअध्यक्षबनाओबे  ,0
हमारे बच्चो की वैक्सीन विदेश में क्यू बेंच दी दोगला पन की भी हद होती है यार,0
दोस्तों आओ हम सब सर्वसम्मति से महान अर्थशास्त्री धुरंधर वैज्ञानिक अंतर्राष्ट्रीय किसान भयंकर सवर्णदलित मसीहा ुदित राज जी को खांग्रेस ्यक्ष एवं ानमंतली बनाएं :folded_hands: सभी ्याएं समाप्त ितराजकोअध्यक्षबनाओबे   ,1
दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी  कोरोना दिखा किन्तु अब हिंसा  लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं :enraged_face::enraged_face:     ,1
coronavirus india भारत आएंगे  वेंटिलेटर और  ऑक्सीजन कंसंट्रेटर ऑस्ट्रेलिया ने बढ़ाया मदद का हाथ       ,1
ेशकीसमस्याबढ़तीजनसंख्या जनसंख्या कानून लाओ और कुत्तों को रोको ज्यादा जनसंख्या बढ़ाने से कुतिया तो बेकार होगी ही पे उससे ज्यादा देश का नुकसान होगा,0
तुम झूठे आदमी हो:face_with_rolling_eyes: एक सप्ताह में कुतिया के पिल्लों की भी आंखें खुल जाती हैं लेकिन चमचों की आंखें  साल के बाद भी नहीं खुल रही :face_with_rolling_eyes: यदि हिम्मत है तो अपने दोनों फोटोज़ की सत्यता जानो फिर बात करना,0
दोनों कमीने टीचरों को फांसी होना चाहिए ,0
और श्रीकृष्ण ने अर्जुन से कहाहे पार्थ शस्त्र त्याग दो और धरने पर बैठ जाओ ,1
तेरी मां चुदाने जाती होगी भोसड़ी के तुझे तो यह भी नहीं पता तेरे बाप कितने हैं भोसड़ी वाले तू इसीलिए तो आम आदमी पार्टी कांग्रेस जैसी पार्टियों की दलाली कर रहा है म रंडी की औलाद छिनाल की औलाद ,0
पुरुष जब प्रेम में छले गए तो रोगी बने स्त्रियों को वेश्या का किरदार मिला पुरुष जबजब मरे उन्हें लौट आना पड़ा उन्हें किसी स्त्री का गर्भ मिला जो स्त्रियां गर्भ में मारी गयी वो नही लौटी उन्हें विधाता का गोद मिला,1
once in a century ुसमोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  मानवता केलिऐ  देशभक्त हो तो,0
enough is enough thanks for your acche din now  no more  just  ो ोरोनाकोचुनावमेबढ़त ,1
लालू यादव तेजस्वी यादव और आरजेडी के खिलाफ मरहूम सांसद शहाबुद्दीन साहब के परिवार से किसी ने कोई ब्यान दिया है फर्जी आईडी को छोड़कर प्लीज मुझें भी बताये  ,1
उस धर्म के चक्कर मे आप अपना कर्म भूल रहे है मोदी जी ,1
गधा एक बेज़रर जानवर है जिसने समाज की बेमिसाल ख़िदमत की है शेर एक वहशी दरिन्दा है जिसने इंसान को हमेशा नुक़सान पहुंचाया है हमारा समाज गधे को ज़िल्लत और शेर को फ़ख़्र की निगाह से देखता है क्यों क्योंकि हम ताक़तवर और ज़ालिम की क़द्र करते हैं ईमानदार और वफ़ादार की नहीं ,1
ईद को ध्यान में रखते हुए अब्दुल के रहनुमा नीतीश कुमार ने लगाया… बिहार में  मई तक लॉकडाउन ,1
tmc कि जीत पर वही लोग हंस रहे हैं जो पृथ्वीराज चौहान राणा प्रताप शिवाजीभगतसुखदेव चंद्रशेखर आजाद राजगुरू की ौत पर हंसे थे  सिर्फ पिढी बदली है   ,1
  ुरानीपेंशनबहालकरो     ारतछोड़ो  िजीकरणभारतछोड़ो ्मचारीकाअधिकार िजीकरणकेख़िलाफ़इंक़लाब ्वास्थ्यक्षेत्रमेबजटबढ़ाओ  ो ,1
लालू यादव तेजस्वी यादव और आरजेडी के खिलाफ मरहूम सांसद शहाबुद्दीन साहब के परिवार से किसी ने कोई ब्यान दिया है फर्जी आईडी को छोड़कर प्लीज मुझें भी बताये ,1
साहब यह कैसी कयादत है गुस्ताखे नबी शहाबुद्दीन पर खामोशी लानत है ,1
कुर्सी है तुम्हारा ये जनाज़ा तो नहीं है कुछ कर नहीं सकते तो उतर क्यों नहीं जाते    गुजरात देश का फूफा है क्या सबकुछ उसको ही मिलेगा ऑक्सीजन भी बेड भी वैक्सिन भी ,0
बिहार के मुसलमानों के द्वारा ाबुद्दिनसाहब के साथ rjd को भी दफ़न कर देना ही साहब को सच्ची श्रद्धांजली होगी सिस्टम का सताया हुआ बेटा और हौसले के साथ वापस आयेगा    ्टिसफॉरशहाबुद्दीन,1
शुक्रिया साहेब शुक्रिया साहेब  इस दुख की घड़ी में ओसामा शहाब का साथ देने के लिए साथ खड़े होने के लिएउन लोगों का भी बहुत शुक्रिया जो दिल्ली में ओसामा के साथ खड़े हुएसीवान इस बात को याद रखेगा ,1
तिहाड़ जेल के स्पेशल सेल में कोरोना पहुंचा कैसे मुझे लगता हे ये सिस्टम का कोरोना है ,1
फिल्म बनने के बाद सेन्सर तो होकिंतु फिल्मबनाने के पूर्व भी फिल्म के स्क्रीप्ट को भी सेसर करने का नियम भी बनावेअति सॅवेदनशील सुहागरात के पलॅग पर पती पत्नी के रोमाॅसप्यार के फूहड़ सीन पर रोक हो ,1
शेरएबिहार शहाबुद्दीन साहब की मौत नहीं बल्कि हत्या हुई है ,1
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
दही हांडी की ऊंचाई तय करने में फटाक से बीच में कूद पड़ने वाली सुप्रीम कोर्ट बंगाल में हो रहे खूनी खेल पर मुंह में दही जमा कर बैठी है  ,1
सीधा सवाल क्या मोदी जी के बंगाल चुनाव जीतने की सनक ने पूरे देश को मौत के मुंह में धकेल दिया है  yes or no,0
इस जानवर :dog: को देखो जो भागा चला जा रहा है वाहन के पीछे और हतप्रभ सा भी है और उस जानवर :person_beard: को भी देखो जो वाहन चला रहा है:angry_face::angry_face: ,1
इतिहास गवाह है युद्ध में हुई हार के बाद अपने सैनिकों को मरने के लिए छोड़कर जाने वाले राजा का अंत बहुत ही भयावह होता है धरनाजीवी bjp    ,1
अलविदा शेरएहिंदुस्तान शहाबुद्दीन साहब अल्लाह आपको जन्नतउलफ़िरदौस आला से आला मुक़ाम अता फ़रमाए और तमाम अहले ख़ाना और चाहने वालों को सब्र जमील अता फ़रमाए  ,1
आज इनका तो कल आपका नंबर भी आ सकता है अगर आज नही बोले तो तेजस्वी जी याद रखना लालू जी अभी सजा काट रहे हैं  ,0
राजनीतिक गिद्धों को शर्म आनी चाहिए एक बेटा अपने वालिद को तदफिन भी नही किया की चंद लाइक कॉमेंट के लिए उनके नाम का हेंडल बना लिए कम से कम उस भाई की दर्द समझते  ,0
हिंदुत्व की आड़ में जैसे अखिलेश ने आजम खान की मदद नहीं की वैसे ही तेजस्वी ने शहाबुद्दीन की मदद नहीं की धन्यवाद ,1
भाजपा वाले कोरोना के लिए कुछ कर पाए या नही परन्तु मोदी जी गुणगान करने का तरीक़ा निकल ही लेते है मोदी जी की दूरदर्शिता :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:   ,1
 हजारों सर झुक जाएंगे मोदी जी आपके सम्मान में एक बार गुजरात वाला दोहरा दे पं बंगाल में ,1
बंगाल के रूझान देख लाइव शो से दीपक चौरसिया फ़रारtoilet की तरफ भागता देखा गया ,1
चुप ही रहो तुम,0
this is tight slap on foolish mahanmoorakh modi govt face it’s power of people ौतकासौदागरमोदी    ाओदेशबचाओ ,0
  ुरानीपेंशनबहालकरो     ारतछोड़ो  िजीकरणभारतछोड़ो ्मचारीकाअधिकार िजीकरणकेख़िलाफ़इंक़लाब ्वास्थ्यक्षेत्रमेबजटबढ़ाओ  ो ,1
ममता को चोट लगी ब्रेकिंग न्यूज़ बन गई  बंगाल में हिन्दुओं पर हो रहा अत्याचार मारकाट लूटपाट मची हुई है बलात्कार हो रहे है पर यह न्यूज़ कब बनेगी  क्या हिन्दू होना गुनाह है   ,1
अब ना रोटी की फिक्र है ना रोजगार की तलाश है आपने देश को उस दौर में ले आया:thinking_face: जहां िंदा रहना ही विकास है :downcast_face_with_sweat::downcast_face_with_sweat:   ,1
कहां का है ये दुष्ट,0
अंततः बंगाली हिंदुओं का मूद्दा गौन हो ही गया  ,1
क्योकि ये एक विदेशी की ाजायज औलाद है ्वात्रोची ,0
कितने बड़े हरामी और हिटलर निच टाइप केे अच्छी सोच वाले इंसान हो आप,1
अबे चोडु  ये ब्रामन सिर्फ पाखंडी है,0
जब कुर्बानी देने का टाइम आता है तो सिपाही की दी जाती हैराजा और राजकुमार जिंदा रहते हैंगद्दी पर बैठने के लिए  ,1
जब समय ख़राब होता है ना तो ऊंट पर सबार व्यक्ति को भी कुत्ता काट लेता है l यही हाल इसका हो गया है l जायेगा ससुर तेल लेने l घमंड तो सर चढ़ कर बोल रहा है l माथा फिर गया है l attitude ab kheshri ko janta dikhaye gi  अश्लील गाना,0
ना कर फ़िक्र ए ओसामा की तू एक नन्हा सा चिराग है तेरे हौसले मे छिपे है ना जाने कितने आफताब है    ,1
ुक्रिया शुक्रिया शुक्रिया बाक़ी rjd ने अपनी औक़ात दिखा दी है और हाँ साहब आपका शुक्रिया आप सिर्फ़ ट्विटर पर ही रहे ,1
ओरत बहन तेरी बेटी भैया भैया चिल्लाएगी उनकी यही करुण चीखें माँ भारती को भी रुलायेंगी :crying_face::crying_face::crying_face: बंटवारे को रे सेक्युलर तू याद जरा सा तो करले जब देश बंटा था टुकड़े में उसे याद जरा अब तू कर ले  ाकाशपथग्रहणरोको,1
ढूंढोगे कहाँ मुझको मेरा पता लेते जाओ एक कब्र नई होगी एक जलता दिया होगा  ,1
विदेश राज्य मंत्री श्री मुरलीधर जी के काफिले पर टीमसी के गुंडे द्वारा किया गया हमला  क्या यही ममता का समृद्ध और शांत पश्चिमी बंगाल है  लोकतंत्र की हत्या देश की जनता बर्दाश्त नहीं करेगी जल्द सबका जवाब मिलेगा आपको ममता जी  ,1
शहाबुद्दीन साहब को कोरोना नहीं थातो अचानक मौत कैसे हुई उन्हें aiims की जगह ddu में क्यों एडमिट किया गयाजब कोरोना रिपोर्ट नेगेटिव है तो शरीर सीवान क्यों नही ले जाने दे रहेहम तदफीन के साथ न्यायिक जांच की मांग करते हैं आखिर क्या छुपा रहें है ,1
मोदी शाहा बोले लेके रहेंगे हावडा नंदीग्राम बंगाल वासी बोले गुजरात जाके करो आराम  :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:     ,1
जब भी भारत पर या मूलनिवासी समाज पर कोई मुश्किल आईकिसी पोंगा पंडे ने साथ नहीं दियालेकिन अपने बलात्कारी हत्यारों के लिए तिरंगा यात्रा और पंचायत की क्योंकि ब्राह्मण जानते हैं कि हम विदेशी हैंइसीलिए हमें खुद ही अपनी लड़ाई लड़नी होगी  ,0
bjp और tmc दोनों को बंगाल के कुर्सी से मतलब है एक पाने के लिए दूसरा बचाने के लिए खुद शपथ ले नहीं पाए तो अगले को बधाई देना तो बनता है   ुलिसscjudgementलागूकरो   ,1
इस चुटिया लड़ाई में मत पड़ो ब्राह्मणों के पास बहुत महापुरुष है क्रांतिकारी है रोज के  मिल जाएंगे उन्होंने मुगलो फिर अंग्रेजो के चाटे उनको करने दो ट्विटर की वीरता,0
शेरे शहाबुद्दीन जिंदाबाद हमारे शेर जिन्दाबाद   ीसूचीदोसरकार ,1
पूर्व सांसद को अपने घर की जमीन पर दफन होने भी नहीं दे सकती है सरकार लानत है ऐसी सरकार पर :enraged_face::smirking_face: ,1
अलविदा शहाबुद्दीन साहब  आप यादों में हमेशा रहेंगे:folded_hands: :folded_hands::folded_hands::folded_hands:  ,1
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
बॉलीवुड से एकमात्र kangana ranaut ही बंगाल हिंसा के विरुद्ध मुखरता से बोल पा रही हैं बाकियों के लिए मुद्दा तब बनता है जब मसला तबरेज का हो कंगना का टि्वटर अकाउंट सस्पेंड कर दिया गया है   ाखूनीहै,1
साथियों अभी कुछ कमी नजर आ रही है भर दो हुंकार अपने हक के लिए ताल ठोक कर मैदान में आ जाओ ोरोनाकेआड़मेंदेशगयाभाड़में ोरोनाकेआड़मेंदेशगयाभाड़में  :folded_hands::tulip::hibiscus::rose::tulip::folded_hands:,1
ठीक है अब आप चुप रहो,1
इस डेसमे अब राजमहल हो रहा है  करोड़ लोग बेरोजगार हैं लोग पेट भर खाना नहीं खा पा रहे हैं कोई ऑक्सीजन नहीं है कोई इलाज नहीं है       ाकीनिर्ममता ंगालहिंसा ,1
oh bengal क्या से जुड़ना या फिर उसके टिकट पर चुनाव लडना बंगाल में गुनाह है क्या और मैं फिर याद दिला दूं और जी के मात्र रिपोर्ट मागंने से  बंगाल में हिंसा नहीं रुकने वाली   ,1
झूठ बोलो बार बार झूठ बोलो हर बार झूठ बोलो तभी तो नौकरी चलेगी keep your mouth shut when you have no ability to save lives     ,1
एक tiktok star ने बड़ेबड़े राजनीतिक धुरंधरों को अपनी हिन्दु दुल्हन वाली फिल्म चलाकर  साल तक जमकर न केवल मूर्ख बनाया बल्कि सत्ता पक्ष को सोचने पर मजबूर कर दिया कि ेलाऐसेहोबे:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:  ,1
ट्विटर को इसमें भी मिर्ची लग गई घंटे के लिए अकॉउंट ब्लॉक कर दिया जिहादी को जिहादी मत कहो सूअर को सूअर मत कहो :enraged_face:वाह रे ट्विटर :enraged_face: ,0
दलाल मीडिया मीडिया के जाल में मत फंसना up चुनाव के लिए नया टूलकिट है मोदी vs योगी इसमे कोई सत्यता नही है बस फूट डालनी है ेदलालदेशद्रोहीसूअर,0
लालू की    साल की जिन्दगी के लिए मरहूम शहाबुददीन साहब की जिन्दगी का जिम्मेदार सिर्फ आरजेडी और लालू यादव है याद रखना सीवान की जनता आपने अपना सादर  को खोया है,1
प्रधानमंत्री की हाल में की गई घोषणा व केजरीवाल के पिछले कुछ दिनों के वीडियो को मिलाकर बनाया गया यह वीडियो अवश्य देखें ेजरीवालदोगलाहै ,1
साथियो लिखते रहो और लिखने वालों को सपोर्ट करते रहो लिखो ,1
बात साफ है हर साल टोल बढ़ जाएगा लेकिन ये यूजर्स के लिए कुछ नहीं करेंगे एक्सिडेंट में किसी की जान जाती है तो जाए कहीं रोड पर गड्ढे कहीं बंप कहीं अवैध कट तो कहीं जाम ऐसे हैं हाइवे ,1
आजाद भारत का घिनौना चेहरा है ममता और वामपंथ ,0
खुद ही हिंदू मुस्लिम की आग लागतें हो और खुद आग में जुलस जाने पर शिकायत करते हो  bjp अब भूगतो  जो जैसा करेगा वो वैसा भरेगा  वाहह मोदी वाहह          ,1
गधा भैया :face_with_rolling_eyes:,0
वाक़ई में जब सच का सामना होता है तो बहुत देर हो जाती है मेरे देश के लोगों को अपना हक़ माँगना होगा किसी भी क़ीमत परइस खोखली केन्द्र सरकार से जवाब माँगिए जो गिद्ध की तरह पूरे देश को लाशों में तब्दील कररहे हैं अगर अभी डरे तो हम सब कुछ खोदेगें   ,0
  ुरानीपेंशनबहालकरो     ारतछोड़ो  िजीकरणभारतछोड़ो ्मचारीकाअधिकार िजीकरणकेख़िलाफ़इंक़लाब ्वास्थ्यक्षेत्रमेबजटबढ़ाओ  ो ,1
बंगाल चुनाव से ये तो ज़ाहिर हो गया की ये बड़े बड़े  कोड़ी के नेता अपने आपको तो इस जलती आग से बचा लेंगे पर कार्यकर्ताओं के जलते घर लूटती आबरू और मरते हुओं पर इनसे बस राजनीति ही होगी और कुछ नहीं :crying_face:  ,1
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
गांजा बुरी चीज़ है        ,1
इस संकट की घड़ी में हमारे बड़े भाई चेतन जैन निस्स्वार्थ भाव से लगातार कोरोना सेंटरों में जाकर स्वयं ही सिलेंडरों का इंतजाम कर रहे है  ,1
कुरआन पाक में साफ साफ लिखा है कुफ़्फ़ारलाऐतबार ऐ इमान वालो काफिरों पर यकीन मत करो ये पीठ पीछे वार करते है ,0
जो लोग अपनी लिखी बात डिलीट करते है उसको थूकेलि नस्ल की नाजायज औलादवंसज बोलते हैये बात आपको पता है  जब तक अपनी असली dp नही लगाओगे तब तक मैं और तुम्हारे जानने वाले तुमको नाजायज औलाद ही समझेंगे और मन ही मन हसेंगे तुमपर और तुम्हारी मम्मी परयकीन न होतो अपने मित्रों से पूछ लो:face_with_tears_of_joy:,0
संस्कृति है इसके उलट जो बंगाल में हो रहा है ये रावण राज से भी घिनौना कृत्य है मानो ममता ये बताना चाहती हो के बंगाल मै चुनाव लड़ना भी पाप है ऑर इसका दंड वो तय करेगी बंगाल चुनाव मै किसी व्यक्ति विशेष या पार्टी की हार नहीं हुई मानवता की हार हुई है  ,1
बहुत समय बाद कल वो मार्केट में मिली मैंने पूछा कि ये बड़ा टेडीबियर किसका है :thinking_face: वो बोली कमिने पति हैं मेरा :face_with_rolling_eyes::face_with_rolling_eyes:,1
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
राजनीतिक गिद्धों को शर्म आनी चाहिए एक बेटा अपने वालिद को तदफिन भी नही किया की चंद लाइक कॉमेंट के लिए उनके नाम का हेंडल बना लिए कम से कम उस भाई की दर्द समझते  ,0
भक्तों ,1
राम राम  इन सब हरामी खादी धारियों ने भारत को लूटा सो लूटा पर इनकी हिम्मत तो देखो कि अब ये चरखे चलाने वाले कमीने दक्षिण अफ़्रीका में लूट पाट करने पहुँच गये  “प्रोफेशनल लुटेरे :enraged_face:”,0
अगर धरना देने से सब सही हो जाता तो कुरुक्षेत्र में भी श्री कृष्ण जी अर्जुन को यही सलाह देते :enraged_face::enraged_face::enraged_face:      ,1
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
पप्पु खुद गधा है ,0
अफसोस गद्दार सरकार से न्याय नहीं मिला शहीद शहाबुद्दीन ीदशहाबुद्दीन     ्टिसफॉरशहाबुद्दीन    ,0
ंधिपरिवार को े कहा है कि सचिन पायलट एक निकम्मा नकारा काम चोर नेता है इसीलिए यह सब आप को मुर्ख समझ कर आप को ignore कर रहे गलती खुद की है पहले आप ने भागवत कर ली फिर किस लिए समझोता कर लिया अब समझोता किया है चुपचाप गंधिपरिवार ओर अशोक गहलोत के चरण चाटो ,1
ये आ गए बचाव में प्रवक्ता    ,1
सही कहा औरत शब्द हिंदी नहीं है अरबी लफ्ज़ है और औरत शब्द कि मतलब वैश्या ही नहीं सभी स्त्री और पुरूष से सम्बंधित है जिसमें आपके घर वाले भी सम्मिलित है  क्यों कि औरत लफ्ज़ का अर्थ है गुप्तांग,0
बहन आपसे उम्मित हे आप इस विषय पर संज्ञान ले और आपके बुलेटिन मे ये जरुर दिखाये आपको पता तो होगा ही की ये बहन कौन हे    ,1
यह दृश्य हृदयविदारक है यह दृश्य tmc के आतंक की गवाही दे रहा है भाजपा कार्यकर्ताओं को अपनी सुरक्षा के लिये असम में शरण लेनी पड़ रही है असम में पार्टी द्वारा सभी को राहत शिविरों में भोजन व अन्य जरूरी सामग्री उपलब्ध कराई जा रही है   ,1
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
 मोदी जी please झोला फटाफट उठाकर निकल लें दया करें अब गुफा भी कैमरों के साथ तैयार है बहुत सारे पौगां पंडितों की झूठी सच्चे कथायें कहते रहते  एक और चलने लगेगा आप भी ख़ुश और जनता बहुत खुश,0
अगर धरना देने से सब सही हो जाता तो कुरुक्षेत्र में भी श्री कृष्ण जी अर्जुन को यही सलाह देते :enraged_face::enraged_face::enraged_face:     ,1
ये कहने से काम नहीं चलेगा अब तक तो वहा राष्ट्रपति शासन लग जाना चाहिए था फ़िर भी दिल्ली में बैठ कर हिंदुओं को मरते देख रहे थे जिन लोगों ने आपके लिए अपनी जान गवा दी और अब तक आपने कोई ठोस कदम तक नहीं उठाई   ाकीनिर्ममता,1
कश्मीर याद रखियेगा कश्मीरी पंडितों ने यदि खुद की रक्षा की होती तो स्थिति आज अलग होती   ,1
:double_exclamation_mark:lets face it 𝗖𝗼𝘃𝗶𝗱 day :double_exclamation_mark:  fresh  cases amp  deaths in the last  hours:double_exclamation_mark: ोरोनाकोचुनावमेबढ़त ेंद्रमोदीग्लोबलपप्पू 𝗠𝗲𝗮𝗻𝘄𝗵𝗶𝗹𝗲 a day without laughter is a day wasted   ,1
आप लोग जय श्री राम करके भी हार गए और वो दुर्गा पूजा रुकवाकर भी जीत गई अब ये धरना वरना छोड़ो और कोरोना पीड़ितों की मदद में लग जाओ नहीं तो देश मे double digit में आ जाओगे :folded_hands::thumbs_up::face_with_medical_mask:  ,1
देखो अब ये गधा अपना रंग दिखा रखा है इसका भावार्थ बताये,0
हां सबको पता है अगर आपको नही पता तो भाड़ में जाओ ,1
   जय जय सुरनायक जनसुखदायक प्रणतपाल भगवंता  ,1
गरीबों की सेवा शिर पर ताज मुफ्त वैक्सीन मुफ्त अनाज दुष्ट थेथर पर गिरी गाज,1
corona negative थे तो फिर मौत कैसे हुई इसकी जांच होनी चाहिए आप लोग जांच की मांग कीजिए और न्याय दिलाए ओसामा और सिवान की जनता को ,1
  मोन है क्या आपका तेजस्वी हो या सब मोन रखे हुए उनकी पार्टी के मुस्लिम लीडरो का कतल हो रहा है ये चुप तमसा देख रहे हे शाबुद्धीन हों या ाजवादीपार्टीसेआज़मखां या से ीक सबतमसा देखरहे है,1
